title,genre,year,netflix
아이 좀비,드라마,2017,수상: 6 wins & 20 nominations.
주,드라마,2017,"전 세계 동물들이 인간을 공격하기 시작하자, 논란이 많은 동물학자 잭슨 오즈는 갑작스러운 변화의 원인을 알아내려 애쓴다."
지그와 샤코,드라마,2016,"무인도에서 옴짝달싹 못 하고 배만 곯는 하이에나 지그. 인어 마리나를 잡아먹으려 요리조리 머리를 쓰지만, 상어 샤코의 끊임없는 훼방에 어제도, 오늘도, 내일도 꼬르륵~"
Z 네이션,드라마,2017,"치명적인 좀비 바이러스에서 살아남은 남자가 백신에 대한 키를 쥐고 있다고 믿고, 그들은 위험천만한 미국 횡단에 도전한다."
겁쟁이 페달,드라마,2017,왜소한 체격에 소심한 성격. 취미는 애니메이션 감상. 누가 봐도 스포츠와 거리가 먼 남고생이 사이클부원이 됐다. 통학하던 자전거 실력으로 레이서들과 겨룰 수 있겠니? 아니 그 전에 혹독한 지옥 훈련을 버틸 수나 있겠어?
4월은 너의 거짓말,드라마,2014,수상: 2 wins & 1 nomination.
영 저스티스,드라마,2012,수상: Won 1 Primetime Emmy. Another 8 wins & 29 nominations.
"당신과 나, 그리고 그녀",드라마 NETFLIX ORIGINAL,2018,수상: 1 win & 13 nominations.
너의 모든 것,드라마 NETFLIX ORIGINAL,2018,수상: 1 win & 4 nominations.
유후와 친구들,드라마,2012,유후와 왕방울 눈을 가진 네 친구가 지구의 환경을 지키는 일에 앞장서요! 신비로운 자연을 배경으로 따뜻한 우정을 쌓아 가는 우리 친구들을 함께 만나볼까요?
새벽의 연화,드라마,2015,"세상 물정 모르는 철부지 공주에게 갑자기 찾아온 비극. 짝사랑하던 사람이 눈앞에서 아버지를 시해한 것! 도망 길에 오른 공주는 맹세한다. 빼앗긴 왕국, 꼭 되찾고 말겠어!"
요괴워치,드라마,2014,마법 캡슐 안에 갇힌 요괴를 풀어준 민호. 새 요괴 친구와 함께 다양한 말썽꾸러기 요괴들과의 신나는 모험에 나선다.
YG전자,드라마 NETFLIX ORIGINAL,2018,"빅뱅의 막내 승리, YG 전략자료본부실의 고문이 되다! 다 양 회장님 눈에 든 덕? 기대 가득 첫 출근, 그런데 여기 좀 이상해! YG 스타들이 총출동하는 리얼 시트콤."
XXX홀릭,드라마,2008,어릴 적부터 지금까지 하루도 요마에게 시달리지 않은 날 없었던 고등학생 와타누키. 소원을 이뤄주는 가게를 하는 유코를 만난다. 그리고 말한다. 요마가 보이지 않았으면 좋겠다고. 그 소원은 얼마든 이루어줄 수 있지. 대가만 치른다면.
위노나 어프,드라마,2017,수상: 10 wins & 23 nominations.
어느 세균학자의 죽음,드라마 NETFLIX ORIGINAL,2017,수상: 3 nominations.
신나는 글자축제,드라마 NETFLIX ORIGINAL,2017,"귀여운 아기 동물 베일리, 프래니, 킵, 루루와 함께 재미있는 놀이를 즐기면서 단어를 배워보자."
윙스 클럽,드라마,2014,이 애니메이션 판타지 영화에서는 블룸이라는 소녀가 한 무리의 요정들과 친구가 된 후 은밀하고 위험한 “마법 차원”으로 요정들을 따라 들어간다.
오쇼 라즈니쉬의 문제적 유토피아,드라마 NETFLIX ORIGINAL,2018,수상: Won 1 Primetime Emmy. Another 1 win & 13 nominations.
와일드 파타고니아,드라마,2015,"지형이 험준하기로 유명한 남아메리카 파타고니아 지역. 이 지역을 형성하는 여러 산과 사막, 해안, 그리고 그곳에 서식하는 다양한 동물군을 집중 조명한다."
와일드 재팬,드라마,2015,"인구 증가와 중공업 발달, 그리고 지진과 쓰나미 등 각종 자연재해에도 불구하고 일본은 다양한 생태계의 보고를 간직하고 있다."
와일드 차이나,드라마,2008,수상: 3 wins.
와일드 알래스카,드라마,2015,"극한의 기후환경 속에서도 다양한 생물체들이 더불어 살아가는 천혜의 땅, 알래스카의 세 계절은 저마다 다양한 축복과 도전을 선사한다."
불야성,드라마,2016,수상: Won 1 Oscar. Another 2 wins & 2 nominations.
화이트 골드,드라마 NETFLIX ORIGINAL,2017,"1980년대 영국 에식스. 세상이 우스운 영업 사원 빈센트 스완과 그의 파렴치한 동료들은 실적만 올릴 수 있다면 아무것도 가리지 않는다. 양심 따위, 개나 줘라."
남자가 사랑할때,드라마,2013,성공을 위해 자신만을 믿고 살아온 폭력배 출신의 차가운 남자 한태상은 당돌한 여자 미도에게 마음이 흔들린다.
그녀 다시 보기,드라마,2015,"고향에 방문한 부유한 독신남은 10년 전 자신에게 상처를 준 여자에게 복수를 꾀하지만, 그의 계획은 예상대로 풀리지 않는다."
마지막 임무,드라마 NETFLIX ORIGINAL,2018,수상: 2 wins & 5 nominations.
호프 밸리,드라마,2017,수상: 20 wins & 28 nominations.
도대체 무슨일이야?,드라마,2015,"25살 연하남과 달콤한 비밀 연애 중이던 40살 그녀. 어려지고 싶다는 소원을 카드에 빌고 난 후, 대박 사건이 터진다!"
